NaN,60,59,58,57,56,55,54,53,52,51,50,49,48,47,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0
3.5,8.4,8.8,9.2,9.7,10.3,10.9,11.4,12,12.6,13.2,13.8,14.5,15.2,15.8,16.5,17.3,18.1,18.9,19.6,20.4,21.1,21.8,22.5,23,23.6,24.3,24.9,25.5,26,26.6,27.2,27.8,28.4,29.2,30.1,30.9,31.8,32.6,33.7,34.9,36.1,37.2,38.4,39.7,41,42.3,43.6,45,46.2,47.4,48.6,49.7,50.9,52,53.3,54.5,55.8,57,58.2,59.3,60.6
3.4,8.5,8.8,9.3,9.8,10.4,11,11.6,12.2,12.8,13.4,14,14.6,15.3,16,16.7,17.4,18.2,19,19.8,20.5,21.2,21.9,22.6,23.1,23.7,24.4,25,25.6,26.1,26.7,27.3,27.9,28.5,29.3,30.1,31,31.8,32.7,33.7,34.9,36.1,37.1,38.4,39.6,40.9,42.2,43.4,44.8,46.1,47.2,48.4,49.6,50.7,51.8,53.1,54.3,55.6,56.8,57.9,59,60.2
3.29,8.5,8.9,9.3,9.9,10.5,11.1,11.7,12.3,12.9,13.5,14.1,14.7,15.4,16.1,16.7,17.5,18.3,19.1,19.9,20.6,21.3,22,22.7,23.2,23.8,24.5,25.2,25.7,26.2,26.8,27.4,28,28.7,29.4,30.2,31.1,32,32.8,33.9,35,36.2,37.2,38.4,39.7,40.8,42.1,43.4,44.7,46,47.1,48.3,49.4,50.6,51.6,52.7,54,55.2,56.4,57.6,58.6,59.8
3.19,8.5,8.9,9.3,9.9,10.5,11.1,11.7,12.3,12.8,13.5,14.1,14.7,15.4,16,16.8,17.5,18.3,19.1,19.9,20.6,21.3,22,22.7,23.2,23.8,24.5,25.1,25.7,26.1,26.7,27.3,28,28.6,29.3,30.2,31,31.8,32.7,33.8,34.9,36,37.1,38.3,39.5,40.7,41.9,43.2,44.5,45.7,46.9,48,49.2,50.3,51.3,52.5,53.6,54.8,56,57.1,58.3,59.5
3.08,8.6,8.9,9.4,9.9,10.5,11.1,11.7,12.3,12.9,13.5,14.1,14.7,15.4,16,16.7,17.5,18.3,19.1,19.8,20.6,21.3,22,22.6,23.1,23.8,24.4,25,25.6,26,26.6,27.2,27.8,28.5,29.2,30,30.9,31.7,32.6,33.7,34.8,36,37,38.2,39.4,40.6,41.7,42.9,44.2,45.5,46.6,47.7,48.8,50,50.9,52.1,53.2,54.4,55.4,56.5,57.6,58.8
2.98,8.7,9.1,9.5,10,10.6,11.1,11.7,12.3,12.9,13.4,14.1,14.7,15.4,16,16.7,17.4,18.2,19,19.7,20.4,21.1,21.7,22.3,22.7,23.3,23.9,24.5,25,25.4,25.9,26.5,27.1,27.7,28.5,29.3,30,30.8,31.7,32.7,33.9,35,36,37.2,38.4,39.6,40.8,42,43.2,44.3,45.4,46.5,47.5,48.5,49.4,50.5,51.6,52.8,53.9,55,56.1,57.2
2.88,8.7,9,9.5,10,10.6,11.1,11.7,12.3,12.9,13.5,14.1,14.8,15.5,16.1,16.8,17.5,18.2,19,19.7,20.4,21.1,21.7,22.3,22.8,23.4,24,24.5,25,25.4,25.9,26.5,27.1,27.7,28.5,29.3,30,30.9,31.7,32.7,33.9,35,36,37.2,38.4,39.5,40.7,41.9,43.1,44.2,45.2,46.2,47.3,48.2,49.2,50.3,51.3,52.4,53.4,54.5,55.6,56.8
2.77,8.5,9,9.4,10,10.6,11.1,11.7,12.3,12.9,13.5,14.1,14.7,15.4,16.1,16.8,17.5,18.2,19,19.8,20.4,21.1,21.7,22.3,22.8,23.4,24,24.5,25,25.4,25.9,26.5,27.1,27.7,28.4,29.2,29.9,30.8,31.6,32.6,33.7,34.8,35.9,37,38.2,39.3,40.5,41.6,42.8,43.9,44.9,45.9,46.9,47.8,48.8,49.9,51,52,53.1,54.1,55.2,56.3
2.67,8.4,8.8,9.3,9.8,10.4,11,11.7,12.3,12.9,13.5,14.2,14.9,15.6,16.2,16.9,17.6,18.4,19.1,19.9,20.5,21.2,21.8,22.5,22.9,23.5,24.1,24.7,25.2,25.5,26,26.6,27.2,27.8,28.4,29.3,30,30.9,31.7,32.7,33.8,34.9,35.9,37.1,38.2,39.4,40.5,41.6,42.8,43.9,44.9,45.8,46.8,47.6,48.6,49.7,50.6,51.7,52.7,53.7,54.8,55.8
